applies_to_sheet,criterion,weight,how_measured,computed_in
host_genes,"partial correlation of module eigengene with weight gain, controlling for sex",multiplicative factor (not summed),"|partial_r(WG|sex)|, Pearson partial correlation, n=20 RNA-seq libraries",src/network/wgcna_analysis.R; src/ranking/generate_final_shortlists.py
host_genes,module membership,multiplicative factor (not summed),"|kME| = |Pearson r(gene expression, module eigengene)|, n=20",src/network/wgcna_analysis.R
host_genes,module significance gate,"hard filter, not a weight","Module retained only if permutation-null empirical p<0.05 (1,000 label shuffles) -- excludes modules M7, M12, M13, M15 and all others despite non-trivial raw partial_r values.",results/reports/permutation_null.tsv (src/network/permutation_power_analysis.py)
host_genes,per-module diversity cap,"hard filter, not a weight",Max 3 genes per module.,src/ranking/generate_final_shortlists.py
microbial_taxa,Bayesian posterior credible interval,"hard filter, not a weight","Taxon retained only if the 95% credible interval of the posterior log2 Jumper:Laggard ratio (beta-binomial model, 20,000 draws) excludes zero. 29/191 taxa (15.2%) pass this filter; contamination-flagged and LOTO-unstable taxa are further excluded even if they pass.",src/asv/01c_bayesian_taxon_model.py
microbial_taxa,effect size,ranking key within the confirmed tier,"|log2FC| Bayesian posterior mean, among taxa that already pass the CI-excludes-zero and contamination gates.",src/asv/01c_bayesian_taxon_model.py
microbial_taxa,contamination risk,"hard filter, not a weight","LOW only (contamination score <0.85, log-normal mixture model on total read count, plus not on the 14-genus reagent/skin contaminant list).",src/asv/01_clr_transform.py (contamination scoring)
pathways,edge count,multiplicative factor,Number of curated microbial KEGG source pathways bridged into this host pathway.,src/network/build_edges.py
pathways,host module growth association,multiplicative factor,"|partial_r(WG|sex)| of the strongest permutation-validated host module (M6=0.5898) used as a common weight across all 3 ranked pathways -- this is a ranking weight, not a claim that the pathway's genes sit inside M6.",src/network/wgcna_analysis.R
pathways,biological relevance,"multiplicative factor, expert-curated","1.5 assigned to the two chitin/amino-sugar-linked pathways (amino sugar metabolism, lysosome); 1.0 assigned to PPAR signaling (SCFA-linked). Disclosed as a subjective curation weight, not derived from data.",src/ranking/generate_final_shortlists.py
all sheets,"fewer, better-supported candidates",not a weight -- a stopping rule,"Every sheet reports the ceiling from brief section 3.4(4) (<=10 genes, <=5 taxa, <=3 pathways) only where the validation gates above are actually passed. This submission reports 6/10 host genes because that is where the permutation-null gate stops passing candidates (only M6 and M8 survive), not because of a data-availability limit. The microbial shortlist reaches the full 5/5 ceiling -- all 5 taxa independently pass both the Bayesian-CI and LOW-contamination gates.",results/reports/permutation_null.tsv; src/asv/01c_bayesian_taxon_model.py
