edge_id,node_a,node_a_layer,node_b,node_b_layer,edge_type,edge_basis,edge_weight,weight_meaning,derivable_from_supplied_data,supporting_reference_or_code_step
E1,Endothiovibrio diazotrophicus,microbe,fast_growth_Jumper,phenotype,phenotype_concordance,"Directional enrichment in one pooled 16S sample vs the other (n=1 per phenotype class). NO correlation coefficient, p-value or FDR is computed or implied -- the pooled table has no within-class variance to support one.",1,"Ordinal: 1 = directional enrichment only (unresolved to a KEGG GENOME entry, no functional bridge available).",yes,src/asv/01_clr_transform.py; results/reports/bayesian_taxon_enrichment.tsv
E2,Moraxella osloensis,microbe,slow_growth_Laggard,phenotype,phenotype_concordance,"Directional enrichment in one pooled 16S sample vs the other (n=1 per phenotype class). NO correlation coefficient, p-value or FDR is computed or implied -- the pooled table has no within-class variance to support one.",2,Ordinal: 2 = directional enrichment plus contributes to >=1 bridged pathway index on the concordant side.,yes,src/asv/01_clr_transform.py; results/reports/bayesian_taxon_enrichment.tsv
E3,Pseudoalteromonas phenolica,microbe,fast_growth_Jumper,phenotype,phenotype_concordance,"Directional enrichment in one pooled 16S sample vs the other (n=1 per phenotype class). NO correlation coefficient, p-value or FDR is computed or implied -- the pooled table has no within-class variance to support one.",2,Ordinal: 2 = directional enrichment (Jumper-exclusive) plus contributes to >=1 bridged pathway index on the concordant side.,yes,src/asv/01_clr_transform.py; results/reports/bayesian_taxon_enrichment.tsv
E4,Jiulongibacter sediminis,microbe,fast_growth_Jumper,phenotype,phenotype_concordance,"Directional enrichment in one pooled 16S sample vs the other (n=1 per phenotype class). NO correlation coefficient, p-value or FDR is computed or implied -- the pooled table has no within-class variance to support one.",1,Ordinal: 1 = directional enrichment only (no functional bridge available; taxon unresolved to a KEGG GENOME entry).,yes,src/asv/01_clr_transform.py; results/reports/bayesian_taxon_enrichment.tsv
E5,Exiguobacterium aestuarii,microbe,slow_growth_Laggard,phenotype,phenotype_concordance,"Directional enrichment in one pooled 16S sample vs the other (n=1 per phenotype class). NO correlation coefficient, p-value or FDR is computed or implied -- the pooled table has no within-class variance to support one.",2,Ordinal: 2 = directional enrichment plus contributes to >=1 bridged pathway index on the concordant side.,yes,src/asv/01_clr_transform.py; results/reports/bayesian_taxon_enrichment.tsv
E6,Butanoate metabolism (map00650),microbial_pathway,PPAR signaling pathway (map03320),host_pathway,predicted_function_overlap,"Microbial genome-resolved KEGG pool index (descriptive log2 ratio, n=1 pooled/group, NOT a statistical test) bridged to a host KEGG pathway via literature-curated function overlap. NO cross-layer correlation is computed or implied.",1,Ordinal count of curated microbial source pathways bridged into this host pathway (this is 1 of 3 for PPAR signaling).,yes,data/interim/functional_prediction/kegg_out/pathway_abundance.tsv; src/network/build_edges.py
E7,Propanoate metabolism (map00640),microbial_pathway,PPAR signaling pathway (map03320),host_pathway,predicted_function_overlap,"Microbial genome-resolved KEGG pool index (descriptive log2 ratio, n=1 pooled/group, NOT a statistical test) bridged to a host KEGG pathway via literature-curated function overlap. NO cross-layer correlation is computed or implied.",1,Ordinal count of curated microbial source pathways (2 of 3 for PPAR signaling).,yes,data/interim/functional_prediction/kegg_out/pathway_abundance.tsv; src/network/build_edges.py
E8,Fatty acid degradation (map00071),microbial_pathway,PPAR signaling pathway (map03320),host_pathway,predicted_function_overlap,"Microbial genome-resolved KEGG pool index (descriptive log2 ratio, n=1 pooled/group, NOT a statistical test) bridged to a host KEGG pathway via literature-curated function overlap. NO cross-layer correlation is computed or implied.",1,Ordinal count of curated microbial source pathways (3 of 3 for PPAR signaling).,yes,data/interim/functional_prediction/kegg_out/pathway_abundance.tsv; src/network/build_edges.py
E9,Amino sugar and nucleotide sugar metabolism (map00520),microbial_pathway,Amino sugar and nucleotide sugar metabolism (map00520),host_pathway,predicted_function_overlap,"Microbial genome-resolved KEGG pool index (descriptive log2 ratio, n=1 pooled/group, NOT a statistical test) bridged to a host KEGG pathway via literature-curated function overlap. NO cross-layer correlation is computed or implied.",1,"Ordinal count of curated microbial source pathways (self-mapped, 1 of 1).",yes,data/interim/functional_prediction/kegg_out/pathway_abundance.tsv; src/network/build_edges.py
E10,Amino sugar and nucleotide sugar metabolism (map00520),microbial_pathway,Lysosome (map04142),host_pathway,predicted_function_overlap,"Microbial genome-resolved KEGG pool index (descriptive log2 ratio, n=1 pooled/group, NOT a statistical test) bridged to a host KEGG pathway via literature-curated function overlap. NO cross-layer correlation is computed or implied.",1,"Ordinal count of curated microbial source pathways (1 of 1, shares its source with E9).",yes,data/interim/functional_prediction/kegg_out/pathway_abundance.tsv; src/network/build_edges.py
